CustomerID,RFM_Score,Risk_Group,Country
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
13047,355,Medium_Risk,United Kingdom
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
12583,555,Low_Risk,France
13748,234,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
15100,143,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
17850,155,Medium_Risk,United Kingdom
